State,year,number_breweries,population,residents_per_brewery
TX,2002,42,21690.325,516.4363095238095
UT,2002,17,2324.815,136.75382352941176
VA,2002,30,7286.873,242.89576666666665
VT,2002,25,615.442,24.61768
WA,2002,94,6052.349,64.38669148936171
WI,2002,90,5445.162,60.5018
WV,2002,5,1805.414,361.0828
WY,2002,11,500.017,45.45609090909091
AK,2003,15,648.414,43.2276
AL,2003,3,4503.491,1501.1636666666666
AR,2003,4,2724.816,681.204
AZ,2003,36,5510.364,153.06566666666666
CA,2003,278,35253.159,126.80992446043166
CO,2003,99,4528.732,45.74476767676768
CT,2003,17,3484.336,204.96094117647058
DC,2003,4,568.502,142.1255
DE,2003,9,818.003,90.88922222222223
FL,2003,78,17004.085,218.00108974358974
GA,2003,29,8622.793,297.3376896551724
HI,2003,13,1251.154,96.24261538461539
IA,2003,17,2941.999,173.05876470588234
ID,2003,20,1363.38,68.16900000000001
IL,2003,43,12556.006,292.0001395348837
IN,2003,23,6196.638,269.41904347826085
KS,2003,7,2723.004,389.0005714285714
KY,2003,10,4117.17,411.717
LA,2003,6,4521.042,753.5070000000001
MA,2003,44,6422.565,145.96738636363636
MD,2003,27,5496.269,203.56551851851853
ME,2003,37,1306.513,35.31116216216216
MI,2003,76,10041.152,132.12042105263157
MN,2003,31,5053.572,163.01845161290322
MO,2003,28,5709.403,203.90725
MS,2003,3,2868.312,956.1039999999999
MT,2003,24,919.63,38.31791666666667
NC,2003,41,8422.501,205.4268536585366
ND,2003,3,638.817,212.939
NE,2003,12,1738.643,144.88691666666668
NH,2003,16,1279.84,79.99
NJ,2003,22,8601.402,390.9728181818182
NM,2003,20,1877.574,93.87870000000001
NV,2003,16,2248.85,140.553125
NY,2003,86,19175.939,222.9760348837209
OH,2003,59,11434.788,193.80996610169493
OK,2003,6,3504.892,584.1486666666666
OR,2003,87,3547.376,40.7744367816092
PA,2003,78,12374.658,158.64946153846154
RI,2003,6,1071.342,178.55700000000002
SC,2003,21,4150.297,197.63319047619046
SD,2003,7,763.729,109.10414285714286
TN,2003,22,5847.812,265.80963636363634
TX,2003,41,22030.931,537.3397804878049
UT,2003,15,2360.137,157.34246666666667
VA,2003,30,7366.977,245.5659
VT,2003,25,617.858,24.714319999999997
WA,2003,91,6104.115,67.0781868131868
WI,2003,90,5479.203,60.88003333333334
WV,2003,5,1812.295,362.459
WY,2003,11,503.453,45.768454545454546
AK,2004,13,659.286,50.714307692307685
AL,2004,5,4530.729,906.1458
AR,2004,4,2749.686,687.4215
AZ,2004,31,5652.404,182.3356129032258
CA,2004,282,35574.576,126.15097872340426
CO,2004,99,4575.013,46.212252525252524
CT,2004,20,3496.094,174.8047
DC,2004,5,567.754,113.55080000000001
DE,2004,9,830.803,92.31144444444445
FL,2004,74,17415.318,235.34213513513512
GA,2004,29,8769.252,302.38800000000003
HI,2004,13,1273.569,97.96684615384615
IA,2004,21,2953.635,140.64928571428572
ID,2004,19,1391.802,73.25273684210526
IL,2004,45,12589.773,279.7727333333333
IN,2004,23,6233.007,271.00030434782605
KS,2004,10,2734.373,273.4373
KY,2004,10,4146.101,414.6101
LA,2004,9,4552.238,505.8042222222223
MA,2004,46,6412.281,139.39741304347825
